_step,train/global_step,profiling/Time taken: GRPOTrainer._calculate_rewards,profiling/Time taken: GRPOTrainer.connections_reward,train/epoch,train/frac_reward_zero_std,train/reward,train/reward_std,train/rewards/connections_reward/mean,train/rewards/connections_reward/std
0,0,,,,,,,,
1,0,,,,,,,,
2,0,,0.0007006250002632441,,,,,,
3,0,0.0019496380000418867,,,,,,,
4,0,,,,,,,,
5,0,,,,,,,,
6,0,,,,,,,,
7,0,,,,,,,,
8,0,,,,,,,,
9,0,,,,,,,,
10,0,,,,,,,,
11,0,,,,,,,,
12,0,,,,,,,,
13,0,,,,,,,,
14,0,,,,,,,,
15,0,,,,,,,,
16,0,,,,,,,,
17,0,,,,,,,,
18,0,,,,,,,,
19,0,,,,,,,,
20,0,,,,,,,,
21,0,,,,,,,,
22,0,,,,,,,,
23,0,,,,,,,,
24,0,,,,,,,,
25,0,,,,,,,,
26,0,,,,,,,,
27,0,,,,,,,,
28,0,,,,,,,,
29,0,,,,,,,,
30,0,,0.0007752650003567396,,,,,,
31,0,0.0016700520000085817,,,,,,,
32,0,,,,,,,,
33,0,,,,,,,,
34,0,,,,,,,,
35,0,,,,,,,,
36,0,,,,,,,,
37,0,,,,,,,,
38,0,,,,,,,,
39,0,,,,,,,,
40,0,,,,,,,,
41,0,,,,,,,,
42,0,,,,,,,,
43,0,,,,,,,,
44,0,,,,,,,,
45,0,,,,,,,,
46,0,,,,,,,,
47,0,,,,,,,,
48,0,,,,,,,,
49,0,,,,,,,,
50,0,,,,,,,,
51,0,,,,,,,,
52,0,,,,,,,,
53,0,,,,,,,,
54,0,,,,,,,,
55,0,,,,,,,,
56,0,,,,,,,,
57,0,,,,,,,,
58,0,,0.0006822820000706997,,,,,,
59,0,0.0014363469999807421,,,,,,,
60,0,,,,,,,,
61,0,,,,,,,,
62,0,,,,,,,,
63,0,,,,,,,,
64,0,,,,,,,,
65,0,,,,,,,,
66,0,,,,,,,,
67,0,,,,,,,,
68,0,,,,,,,,
69,0,,,,,,,,
70,0,,,,,,,,
71,0,,,,,,,,
72,0,,,,,,,,
73,0,,,,,,,,
74,0,,,,,,,,
75,0,,,,,,,,
76,0,,,,,,,,
77,0,,,,,,,,
78,0,,,,,,,,
79,0,,,,,,,,
80,0,,,,,,,,
81,0,,,,,,,,
82,0,,,,,,,,
83,0,,,,,,,,
84,0,,,,,,,,
85,0,,,,,,,,
86,0,,0.0006784809997952834,,,,,,
87,0,0.0016429389997938415,,,,,,,
88,0,,,,,,,,
89,0,,,,,,,,
90,0,,,,,,,,
91,0,,,,,,,,
92,0,,,,,,,,
93,0,,,,,,,,
94,0,,,,,,,,
95,0,,,,,,,,
96,0,,,,,,,,
97,0,,,,,,,,
98,0,,,,,,,,
99,0,,,,,,,,
100,0,,,,,,,,
101,0,,,,,,,,
102,0,,,,,,,,
103,0,,,,,,,,
104,0,,,,,,,,
105,0,,,,,,,,
106,0,,,,,,,,
107,0,,,,,,,,
108,0,,,,,,,,
109,0,,,,,,,,
110,0,,,,,,,,
111,0,,,,,,,,
112,0,,,,,,,,
113,0,,,,,,,,
114,0,,0.0007063339999149321,,,,,,
115,0,0.0015707140000813524,,,,,,,
116,0,,,,,,,,
117,0,,,,,,,,
118,0,,,,,,,,
119,0,,,,,,,,
120,0,,,,,,,,
121,0,,,,,,,,
122,0,,,,,,,,
123,0,,,,,,,,
124,0,,,,,,,,
125,0,,,,,,,,
126,0,,,,,,,,
127,0,,,,,,,,
128,0,,,,,,,,
129,0,,,,,,,,
130,0,,,,,,,,
131,0,,,,,,,,
132,0,,,,,,,,
133,0,,,,,,,,
134,0,,,,,,,,
135,0,,,,,,,,
136,0,,,,,,,,
137,0,,,,,,,,
138,0,,,,,,,,
139,0,,,,,,,,
140,5,,,0.01240694789081886,0,0.21250001043081285,0.3027635395526886,0.21250001043081285,0.3027635395526886
141,5,,,,,,,,
142,5,,,,,,,,
143,5,,0.0006316240005617146,,,,,,
144,5,0.001534461000119336,,,,,,,
145,5,,,,,,,,
146,5,,,,,,,,
147,5,,,,,,,,
148,5,,,,,,,,
149,5,,,,,,,,
150,5,,,,,,,,
151,5,,,,,,,,
152,5,,,,,,,,
153,5,,,,,,,,
154,5,,,,,,,,
